a_americanum    NW_027526808.1  19031   15302
d_variabilis    NC_134578.1     127592589       127588849
h_longicornis   NW_027526335.1  216924142       216926447
i_hexagonus     OZ285897.1      17407962        17404249
i_inopinatus    CAXMYJ010007398.1       426787  423073
i_pacificus     CAXMZB020057111.1       27      3746
i_persulcatus   CBDIYE010018585.1       7803    5129
i_ricinus       JBDHMW010017363.1       72014   75729
i_scapularis    NW_024610108.1  3283138 3285897
o_turicata      NC_088201.1     173651695       173652929
r_sanguineus    NW_023616175.1  6800    3058
