NW_027526808.13919-5704	A_americanum
NW_027526808.115302-19031	A_americanum
NW_027526808.13900-3935	A_americanum
NW_027526808.13900-3935 A_americanum
NW_027526808.1:15302-19031	A_americanum
NW_027460302.110187567-10187602 D_variabilis
NC_134578.1127588849-127592589	D_variabilis
NW_027460302.110187567-10187602 D_variabilis
NC_134578.1126987747-126989532	D_variabilis
NW_027460302.110187567-10187602	D_variabilis
NC_134578.1:127588849-127592589	D_variabilis
NW_027526335.1216924142-216926447	H_longicornis
NW_027526335.1216920752-216920781	H_longicornis
NW_027526335.1235721734-235723526	H_longicornis
NW_027526335.1:216924142-216926447	H_longicornis
CAXMYW020055791.1396-2182	I_hexagonus
OZ285897.117404249-17407962	I_hexagonus
CAXMYW020056340.14213-4498	I_hexagonus
CAXMYW020064651.12829-2926	I_hexagonus
OZ285897.1:17404249-17407962	I_hexagonus
CAXMYJ010007398.1423073-426787	I_inopinatus
CAXMYJ010007398.1:423073-426787	I_inopinatus
CAXMYJ010007398.1345452-345677	I_inopinatus
CAXMYJ010007398.1345754-347540	I_inopinatus
CAXMYJ010007398.1307629-308279	I_inopinatus
CAXMZB020057111.127-3746	I_pacificus
CAXMZB020089862.11119-1343	I_pacificus
CAXMZB020057111.1:27-3746	I_pacificus
CAXMZB020061916.11167-2953	I_pacificus
CAXMZB020060179.11629-3415	I_pacificus
OZ285911.121563948-21564582	I_pacificus
CBDIYE010018585.15129-7803	I_persulcatus
CBDIYE010018585.1:5129-7803	I_persulcatus
CBDIYE010026013.13318-3626	I_persulcatus
CBDIYE010018585.19135-10921	I_persulcatus
CBDIYE010018585.17919-8488	I_persulcatus
JBDHMW010002573.168918-70704	I_ricinus
JBDHMW010022785.12051-2273	I_ricinus
JBDHMW010017363.172014-75729	I_ricinus
JBDHMW010017363.168918-70704	I_ricinus
JBDHMW010000353.11067-1712	I_ricinus
JBDHMW010017363.1:72014-75729	I_ricinus
NW_024610108.13283138-3285897	I_scapularis
NW_024610108.1:3283138-3285897	I_scapularis
NW_024610108.12725800-2726007	I_scapularis
NW_024610109.145138-46924	I_scapularis
NW_024610110.151563-52163	I_scapularis
NW_026999471.153785-55572	O_turicata
NC_088201.1:173651695-173652929	O_turicata
NC_088201.1173651695-173652929	O_turicata
NW_026999471.153772-53801	O_turicata
NW_023615690.13387-5172	R_sanguineus
NW_023616175.19763-9798	R_sanguineus
NW_023616175.13058-6800	R_sanguineus
NW_023616175.1:3058-6800	R_sanguineus
